Processors  AvgQueueSize   MaxQueueLength   AvgJobWaitTime      TotalProcessingTime   TotalIdleTime  
----------  ------------   --------------   ------------------  -------------------   ------------   
1           2287.55        4579             1225.43             9996                  5              
2           1458.96        2943             1842.97             19988                 14             
3           439.29         906              764.98              29972                 31             
4           1.05           13               1.94                34301                 5703           
5           0.09           4                0.17                34301                 15704          
6           0.01           2                0.01                34301                 25705          
7           0.00           1                0.00                34301                 35706          
8           0.00           0                0.00                34301                 45707          
